Age,City,County,State,Sex,Race / Ethnicity
30.0,Trenton,Mercer,New Jersey,Male,Hispanic / Latino
18.0,Tucson,Yakima,Arizona,Female,Hispanic / Latino
50.0,Baltimore,Baltimore,Maryland,Male,Black / African American
16.0,Mesa,Doña Ana,New Mexico,Female,"White / Caucasian, Hispanic / Latino"
60.0,Sherman,Fresno,California,Male,Hispanic / Latino
30.0,Miami,Miami-Dade,Florida,Male,Hispanic / Latino
24.0,Camden,Camden,New Jersey,Male,White / Caucasian
19.0,Bowie,Prince George's,Maryland,Male,Hispanic / Latino
19.0,Newark,Essex,New Jersey,Female,Uncertain
17.0,Queens,Queens,New York,Female,Black / African American
30.0,Burbank,Los Angeles,California,Female,Black / African American
45.0,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino"
30.0,Chandler,Lincoln,Oklahoma,Male,Uncertain
25.0,Los Angeles,Los Angeles,California,Male,Black / African American
40.0,Houston,Harris,Texas,Male,"Hispanic / Latino, Asian"
30.0,Philadelphia,Philadelphia,Pennsylvania,Female,Uncertain
19.0,Hyattsville,Prince George's,Maryland,Male,Hispanic / Latino
40.0,San Diego,San Diego,California,Male,White / Caucasian
19.0,Baltimore,Baltimore,Maryland,Female,White / Caucasian
18.0,Birmingham,Jefferson,Alabama,Male,White / Caucasian
13.0,San Diego,San Diego,California,Female,"Asian, American Indian / Alaska Native"
55.0,Houston,Harris,Texas,Male,Black / African American
40.0,Los Angeles,Los Angeles,California,Male,Hispanic / Latino
17.0,Tucson,Yakima,Arizona,Female,Hispanic / Latino
25.0,Manhattan,York,New York,Male,"Hispanic / Latino, Uncertain"
31.0,Tupelo,Pinal,Arizona,Unsure,Uncertain
17.0,Brooklyn,Brookings,New York,Female,White / Caucasian
19.0,San Bernardino,San Bernardino,California,Male,"White / Caucasian, Hispanic / Latino"
35.0,Knoxville,Knox,Tennessee,Male,White / Caucasian
30.0,Queens,Queens,New York,Male,Hispanic / Latino
23.0,Zion,Yakima,Arizona,Male,Hispanic / Latino
30.0,Los Angeles,Los Angeles,California,Male,Uncertain
40.0,Queens,Queens,New York,Male,Hispanic / Latino
33.0,Long Beach,Los Angeles,California,Male,"Black / African American, Hispanic / Latino"
18.0,Wisconsin Dells,Yakima,Arizona,Female,Hispanic / Latino
50.0,Claremont,Los Angeles,California,Male,Uncertain
20.0,Reading,Chambers,Pennsylvania,Male,"White / Caucasian, Other"
35.0,Florence,Florence,South Carolina,Male,"Black / African American, Hispanic / Latino"
21.0,Lexington,Lafayette,Kentucky,Male,Hispanic / Latino
20.0,Tulsa,Tulsa,Oklahoma,Male,"White / Caucasian, Other"
30.0,Tacoma,Pierce,Washington,Male,"Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Uncertain"
21.0,Belmont,Los Angeles,California,Male,Uncertain
30.0,Olean,Cattaraugus,New York,Male,Black / African American
50.0,San Diego,San Diego,California,Male,Black / African American
0.0,Aurora,Adams,Colorado,Female,Uncertain
0.0,Aurora,Adams,Colorado,Female,Uncertain
25.0,Plainfield,Union,New Jersey,Male,Hispanic / Latino
40.0,Manhattan,York,New York,Male,Black / African American
50.0,Chicago,McCook,Illinois,Male,Black / African American
19.0,Eagle Pass,Maverick,Texas,Male,Uncertain
19.0,Eagle Pass,Maverick,Texas,Male,Uncertain
33.0,Phoenix,Maricopa,Arizona,Male,Hispanic / Latino
40.0,Houston,Harris,Texas,Male,Uncertain
19.0,Paterson,Passaic,New Jersey,Male,Black / African American
20.0,Mesa,Doña Ana,New Mexico,Female,Hispanic / Latino
24.0,Jackson,Hinds,Mississippi,Male,"Black / African American, Uncertain"
40.0,Manhattan,York,New York,Female,Black / African American
50.0,San Diego,San Diego,California,Male,Black / African American
0.0,Fort Worth,Tarrant,Texas,Female,"Hispanic / Latino, Asian, American Indian / Alaska Native"
25.0,Alpine,San Diego,California,Female,"Hispanic / Latino, Asian"
40.0,Florissant,Horry,South Carolina,Male,White / Caucasian
25.0,Duluth,Gwinnett,Georgia,Female,Black / African American
19.0,Warner Robins,Bear Lake,North Carolina,Male,White / Caucasian
20.0,Corona,Queens,New York,Male,"White / Caucasian, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Uncertain"
40.0,Houston,Harris,Texas,Male,Hispanic / Latino
45.0,Myrtle Beach,Horry,South Carolina,Male,White / Caucasian
35.0,Lincoln,Wayne,Michigan,Male,Black / African American
37.0,Seattle,Rockingham,Washington,Male,"White / Caucasian, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander"
45.0,Manhattan,York,New York,Male,Hispanic / Latino
40.0,Orlando,Orange,Florida,Male,White / Caucasian
20.0,Dayton,Montgomery,Ohio,Male,"White / Caucasian, Uncertain"
21.0,Camden,Camden,New Jersey,Unsure,Uncertain
19.0,Baltimore,Baltimore,Maryland,Female,White / Caucasian
40.0,Houston,Harris,Texas,Male,Asian
55.0,Brooklyn,Brookings,New York,Male,Asian
19.0,Baltimore,Baltimore,Maryland,Male,Black / African American
60.0,Baltimore,Baltimore,Maryland,Male,Black / African American
35.0,Los Angeles,Los Angeles,California,Female,Black / African American
23.0,Hempstead,Nassau,New York,Male,Uncertain
18.0,Coventry,Washington,Rhode Island,Female,Uncertain
0.0,Belmont,Los Angeles,California,Male,Uncertain
45.0,Chula Vista,San Diego,California,Male,Hispanic / Latino
30.0,Elizabeth,Union,New Jersey,Male,Hispanic / Latino
50.0,Bronx,Bronx,New York,Female,Black / African American
40.0,Houston,Harris,Texas,Female,White / Caucasian
18.0,Hyattsville,Prince George's,Maryland,Male,Hispanic / Latino
19.0,Newark,Essex,New Jersey,Male,Hispanic / Latino
30.0,Camden,Camden,New Jersey,Female,Black / African American
29.0,Chattanooga,Hamilton,Tennessee,Male,Uncertain
40.0,Charlotte,Mecklenburg,North Carolina,Female,"White / Caucasian, Hispanic / Latino"
35.0,Charleston,Los Angeles,California,Female,White / Caucasian
87.0,Hamilton,Santa Rosa,Florida,Male,White / Caucasian
0.0,Revere,Suffolk,Massachusetts,Female,"White / Caucasian, Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Other, Uncertain"
35.0,Overland Park,Johnson,Arkansas,Male,Uncertain
55.0,Queens,Queens,New York,Male,White / Caucasian
65.0,Houston,Harris,Texas,Female,Hispanic / Latino
40.0,Houston,Harris,Texas,Male,White / Caucasian
28.0,Queens,Yakima,Arizona,Male,Uncertain
40.0,Santa Monica,Los Angeles,California,Male,White / Caucasian
55.0,Compton,Los Angeles,California,Male,Hispanic / Latino
51.0,Seattle,Rockingham,Washington,Male,"White / Caucasian, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander"
55.0,Los Angeles,Los Angeles,California,Male,White / Caucasian
50.0,Brooklyn,Brookings,New York,Female,Black / African American
18.0,Tucson,Yakima,Arizona,Male,Uncertain
19.0,Port Lavaca,Yakima,Arizona,Male,Hispanic / Latino
45.0,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Black / African American"
50.0,Kearney,Clay,Missouri,Male,White / Caucasian
